dataset,config,label_pct,diversity_measure,seed,inference_mode,training_mode,use_mmr,use_pseudo_label,unsup_drift,inference_relevance,global_acc,f1_score,drift_count,total_instances,elapsed_s,lbd_updates,lbd_instances,lbd_gap_mean,lbd_conf_mean,lbd_gap_pre_mean,lbd_conf_pre_mean,lbd_pool_updates
AGR_g,config_9,1,disagreement,43,sqrtAM,train_C,False,True,False,sqrtAM,0.7182,0.7057,1,99000,251.3,1759703,98010,0.0,0.0,,,1837645
AGR_g,config_10,5,disagreement,43,mmr,train_C,True,True,False,mmr,0.8143,0.8086,9,99000,288.7,1882340,94050,0.0,0.0,,,2503865
AGR_g,config_10,5,disagreement,42,mmr,train_C,True,True,False,mmr,0.7914,0.7813,6,99000,317.7,1890940,94050,0.0,0.0,,,2393073
AGR_g,config_10,1,disagreement,42,mmr,train_C,True,True,False,mmr,0.7098,0.6874,2,99000,255.4,1700456,98010,0.0,0.0,,,1648766
AGR_g,config_10,5,disagreement,44,mmr,train_C,True,True,False,mmr,0.8033,0.796,4,99000,317.8,1808031,94050,0.0,0.0,,,2362031
AGR_g,config_10,1,disagreement,43,mmr,train_C,True,True,False,mmr,0.7092,0.6967,2,99000,262.9,1777281,98010,0.0,0.0,,,1775736
AGR_g,config_10,1,disagreement,44,mmr,train_C,True,True,False,mmr,0.7216,0.7039,3,99000,263.9,1762050,98010,0.0,0.0,,,1855870
AGR_g,config_11,5,disagreement,42,sqrtAM,train_w,False,True,False,sqrtAM,0.8039,0.8001,5,99000,282.9,33568,16616,0.3565489694772171,0.9506832891195712,-0.0191838939347567,0.7909097356713005,2361160
AGR_g,config_11,5,disagreement,43,sqrtAM,train_w,False,True,False,sqrtAM,0.7863,0.7833,5,99000,287.7,35530,16590,0.3638635772926068,0.9507248910991092,-0.0129454990508286,0.7952217935480078,2357011
AGR_g,config_11,5,disagreement,44,sqrtAM,train_w,False,True,False,sqrtAM,0.789,0.7848,6,99000,227.1,29326,14339,0.3552708826593462,0.9520968785085604,-0.0191827212830538,0.7803312598502499,2184658
AGR_g,config_11,1,disagreement,42,sqrtAM,train_w,False,True,False,sqrtAM,0.7277,0.7209,2,99000,218.2,27307,14459,0.3199371884408498,0.9534291128367468,-0.0187706209724479,0.7452701199386501,1605341
